username,userID,location,followers,retweeted_og,tweetcreatedts,text,hashtags
MertonUplift,1108340518528917504,London Borough of Merton,360,OneYouMerton,2022-04-19 11:27:28+00:00,"
RT @OneYouMerton: It’s never too late to quit smoking! You will notice immediate improvements to your health when you stop. Contact us for…",[]
PreventiveBot,1375244479049895941,,755,OneYouMerton,2022-04-19 11:12:16+00:00,"
RT @OneYouMerton: It’s never too late to quit smoking! You will notice immediate improvements to your health when you stop. Contact us for…",[]
OneYouMerton,738354971612205056,"Merton, London",628,none,2022-04-19 11:04:15+00:00,"
It’s never too late to quit smoking! You will notice immediate improvements to your health when you stop. Contact us for local support in #Merton to #stopsmoking Visit: https://t.co/8JNaUC6E35 #GetSupport #QuitSmoking @Merton_Council @HealthyMerton @nhsmerton_ @HWMerton https://t.co/o80Y4Lfp28","[{'text': 'Merton', 'indices': [138, 145]}, {'text': 'stopsmoking', 'indices': [149, 161]}, {'text': 'GetSupport', 'indices': [193, 204]}, {'text': 'QuitSmoking', 'indices': [205, 217]}]"
hephaistos_ai,1151202637582348294,Paris,2993,BeChampKE,2022-04-19 10:46:44+00:00,"
RT @BeChampKE: #BeChamp

 Here are some possible ways to reduce your risk of #Cancer:

🚬 #QuitSmoking
Maintain a #Healthy weight
🍺 limit #a…","[{'text': 'BeChamp', 'indices': [15, 23]}, {'text': 'Cancer', 'indices': [77, 84]}, {'text': 'QuitSmoking', 'indices': [89, 101]}, {'text': 'Healthy', 'indices': [113, 121]}]"
BeChampKE,1000401393172164608,,305,none,2022-04-19 10:46:39+00:00,"
#BeChamp

 Here are some possible ways to reduce your risk of #Cancer:

🚬 #QuitSmoking
Maintain a #Healthy weight
🍺 limit #alcohol consumption 
🍎 Eat more fruits &amp;vegetables 
🏋️‍♀️ Exercise regularly #BeActive360

 Let’s #BeatNCDs together! #BeActive

@ncdalliance @eancdalliance https://t.co/hzFBjOAM3N","[{'text': 'BeChamp', 'indices': [0, 8]}, {'text': 'Cancer', 'indices': [62, 69]}, {'text': 'QuitSmoking', 'indices': [74, 86]}, {'text': 'Healthy', 'indices': [98, 106]}, {'text': 'alcohol', 'indices': [122, 130]}, {'text': 'BeActive360', 'indices': [204, 216]}, {'text': 'BeatNCDs', 'indices': [225, 234]}, {'text': 'BeActive', 'indices': [245, 254]}]"
PreventiveBot,1375244479049895941,,755,Daily_Record,2022-04-19 10:27:17+00:00,"
RT @Daily_Record: “These lung checks can save lives."" #cancer #quitsmoking
https://t.co/5nF6aaRpzN","[{'text': 'cancer', 'indices': [54, 61]}, {'text': 'quitsmoking', 'indices': [62, 74]}]"
NORBET,18774517,Somewhere up North ,1939,Daily_Record,2022-04-19 10:16:00+00:00,"
RT @Daily_Record: “These lung checks can save lives."" #cancer #quitsmoking
https://t.co/5nF6aaRpzN","[{'text': 'cancer', 'indices': [54, 61]}, {'text': 'quitsmoking', 'indices': [62, 74]}]"
hephaistos_ai,1151202637582348294,Paris,2993,Daily_Record,2022-04-19 10:14:01+00:00,"
RT @Daily_Record: “These lung checks can save lives."" #cancer #quitsmoking
https://t.co/5nF6aaRpzN","[{'text': 'cancer', 'indices': [54, 61]}, {'text': 'quitsmoking', 'indices': [62, 74]}]"
Daily_Record,16803602,Glasgow,140561,none,2022-04-19 10:13:56+00:00,"
“These lung checks can save lives."" #cancer #quitsmoking
https://t.co/5nF6aaRpzN","[{'text': 'cancer', 'indices': [36, 43]}, {'text': 'quitsmoking', 'indices': [44, 56]}]"
PreventiveBot,1375244479049895941,,755,Charlesthedev,2022-04-19 09:42:16+00:00,"
RT @Charlesthedev: Quitting cigarettes is damn tough, in my head everyday #smokefree is a new #DarkSouls boss I need to defeat #PS5 #quitsm…","[{'text': 'smokefree', 'indices': [74, 84]}, {'text': 'DarkSouls', 'indices': [94, 104]}, {'text': 'PS5', 'indices': [127, 131]}]"
Charlesthedev,1465263191265587207,London,175,none,2022-04-19 09:39:36+00:00,"
Quitting cigarettes is damn tough, in my head everyday #smokefree is a new #DarkSouls boss I need to defeat #PS5 #quitsmoking","[{'text': 'smokefree', 'indices': [55, 65]}, {'text': 'DarkSouls', 'indices': [75, 85]}, {'text': 'PS5', 'indices': [108, 112]}, {'text': 'quitsmoking', 'indices': [113, 125]}]"
PreventiveBot,1375244479049895941,,755,NewingtonChemi1,2022-04-19 08:27:29+00:00,"
RT @NewingtonChemi1: It's never too late to #JoinTheQuitters.

Contact us for #StopSmoking advice, products and support.

Every day is a go…","[{'text': 'JoinTheQuitters', 'indices': [44, 60]}, {'text': 'StopSmoking', 'indices': [78, 90]}]"
NewingtonChemi1,773558752914079744,"Ramsgate, England",128,none,2022-04-19 08:23:23+00:00,"
It's never too late to #JoinTheQuitters.

Contact us for #StopSmoking advice, products and support.

Every day is a good day to #QuitSmoking.

Let us help you start the journey to #NoSmoking today. https://t.co/trxB0wB6HT","[{'text': 'JoinTheQuitters', 'indices': [23, 39]}, {'text': 'StopSmoking', 'indices': [57, 69]}, {'text': 'QuitSmoking', 'indices': [128, 140]}, {'text': 'NoSmoking', 'indices': [180, 190]}]"
EdelWithAnE,859704307041656832,"East Midlands, England",1158,oneyousurrey,2022-04-19 07:23:57+00:00,"
RT @oneyousurrey: It's #StressAwarenessMonth.

Stress is something everyone feels at times, but regular physical activity could help. Get a…","[{'text': 'StressAwarenessMonth', 'indices': [23, 44]}]"
EsthNorma,1178581074915577856,Carshalton,325,oneyousurrey,2022-04-19 07:23:47+00:00,"
RT @oneyousurrey: It's #StressAwarenessMonth.

Stress is something everyone feels at times, but regular physical activity could help. Get a…","[{'text': 'StressAwarenessMonth', 'indices': [23, 44]}]"
ESCAdvocacy,1236940534075346944,"Brussels, Belgium",1937,ESCardioNews,2022-04-19 07:22:52+00:00,"
RT @ESCardioNews: Smokers with #HeartDisease could gain five healthy years by quitting https://t.co/NbZvj9yHGX

#ESCPrev2022 #QuitSmoking #…","[{'text': 'HeartDisease', 'indices': [31, 44]}, {'text': 'ESCPrev2022', 'indices': [112, 124]}, {'text': 'QuitSmoking', 'indices': [125, 137]}]"
ChemistDaily,1428259195896401925," Bracknell, RG12 1RL, UK",12,none,2022-04-19 04:42:30+00:00,"
Sometimes quitting smoking might be difficult for you! There are 2 major things that make your quit smoking process very difficult. 

#health #healthylifestyle #healthychoices #quitsmoking #quittingtime #quittingtips #quittingadvice #quittingisgood #quitsmokingforever https://t.co/CMngSYMeiS","[{'text': 'health', 'indices': [134, 141]}, {'text': 'healthylifestyle', 'indices': [142, 159]}, {'text': 'healthychoices', 'indices': [160, 175]}, {'text': 'quitsmoking', 'indices': [176, 188]}, {'text': 'quittingtime', 'indices': [189, 202]}, {'text': 'quittingtips', 'indices': [203, 216]}, {'text': 'quittingadvice', 'indices': [217, 232]}, {'text': 'quittingisgood', 'indices': [233, 248]}, {'text': 'quitsmokingforever', 'indices': [249, 268]}]"
spinnemyke,1311629605803974658,"Montana, USA",346,none,2022-04-19 04:36:04+00:00,"
Yesterday was a rough one with quitting ciggs. Smoked 10, after only 3.5 the day before. Today I smoked 1. Chewed gum like a mad man and almost didn’t make it through work. Lort help meh. #quitsmoking #ciggarettssuck #smokefree #smokefreejourney #firefighter","[{'text': 'quitsmoking', 'indices': [188, 200]}, {'text': 'ciggarettssuck', 'indices': [201, 216]}, {'text': 'smokefree', 'indices': [217, 227]}, {'text': 'smokefreejourney', 'indices': [228, 245]}, {'text': 'firefighter', 'indices': [246, 258]}]"
PreventiveBot,1375244479049895941,,755,officialfusenbg,2022-04-19 03:57:18+00:00,"
RT @officialfusenbg: 🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHERIGHTPATH @ Unique One https://t.…","[{'text': 'NOSMOKING', 'indices': [25, 35]}, {'text': 'QUITSMOKING', 'indices': [36, 48]}, {'text': 'HEALTHISWEALTH', 'indices': [49, 64]}, {'text': 'BETTERINGYOURSELF', 'indices': [65, 83]}, {'text': 'STAYINGFOCUSED', 'indices': [84, 99]}, {'text': 'ONTHERIGHTPATH', 'indices': [100, 115]}]"
PreventiveBot,1375244479049895941,,755,officialfusenbg,2022-04-19 03:57:11+00:00,"
RT @officialfusenbg: QUITTING SMOKING, DAY 48‼️🚭

🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHERIGH…","[{'text': 'NOSMOKING', 'indices': [54, 64]}, {'text': 'QUITSMOKING', 'indices': [65, 77]}, {'text': 'HEALTHISWEALTH', 'indices': [78, 93]}, {'text': 'BETTERINGYOURSELF', 'indices': [94, 112]}, {'text': 'STAYINGFOCUSED', 'indices': [113, 128]}]"
MartellJackson8,1460199545778970624,,276,ucanquit2,2022-04-19 03:50:17+00:00,"
RT @ucanquit2: #FACT: After you #quitsmoking, in just 2 weeks, your lung function will improve. Within 1-9 months, shortness of breath will…","[{'text': 'FACT', 'indices': [15, 20]}, {'text': 'quitsmoking', 'indices': [32, 44]}]"
officialfusenbg,1377037118946607106,"London, England",467,none,2022-04-19 03:40:17+00:00,"
🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHERIGHTPATH @ Unique One https://t.co/3skqQFJXoF","[{'text': 'NOSMOKING', 'indices': [4, 14]}, {'text': 'QUITSMOKING', 'indices': [15, 27]}, {'text': 'HEALTHISWEALTH', 'indices': [28, 43]}, {'text': 'BETTERINGYOURSELF', 'indices': [44, 62]}, {'text': 'STAYINGFOCUSED', 'indices': [63, 78]}, {'text': 'ONTHERIGHTPATH', 'indices': [79, 94]}]"
officialfusenbg,1377037118946607106,"London, England",467,none,2022-04-19 03:38:13+00:00,"
QUITTING SMOKING, DAY 48‼️🚭

🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHERIGHTPATH","[{'text': 'NOSMOKING', 'indices': [33, 43]}, {'text': 'QUITSMOKING', 'indices': [44, 56]}, {'text': 'HEALTHISWEALTH', 'indices': [57, 72]}, {'text': 'BETTERINGYOURSELF', 'indices': [73, 91]}, {'text': 'STAYINGFOCUSED', 'indices': [92, 107]}, {'text': 'ONTHERIGHTPATH', 'indices': [108, 123]}]"
cthosp,339872919,"Wallingford, CT",1716,easterncthealth,2022-04-19 03:26:21+00:00,"
RT @easterncthealth: Quitting smoking is hard. The Freedom From Smoking program helps smokers quit their addiction and regain control of th…",[]
CareWeCountOn,2296557738,"Wallingford, CT",528,easterncthealth,2022-04-19 03:21:13+00:00,"
RT @easterncthealth: Quitting smoking is hard. The Freedom From Smoking program helps smokers quit their addiction and regain control of th…",[]
Summer70392268,1501801917588320258,shenzhen,0,none,2022-04-19 02:11:52+00:00,"
#Genmist #pbr #tobacco #tobaccofree #nicotinefree #chill #countrygirl #countryboy #countrymusic #smoke free#use anywhere #quitsmoking #quitchewing #quittobacco #nicotinepouches#diplife #tobaccoalternative #packdipspit #jointheevolution #tobaccokills #nicotinepouch https://t.co/QysqZomw4c","[{'text': 'Genmist', 'indices': [0, 8]}, {'text': 'pbr', 'indices': [9, 13]}, {'text': 'tobacco', 'indices': [14, 22]}, {'text': 'tobaccofree', 'indices': [23, 35]}, {'text': 'nicotinefree', 'indices': [36, 49]}, {'text': 'chill', 'indices': [50, 56]}, {'text': 'countrygirl', 'indices': [57, 69]}, {'text': 'countryboy', 'indices': [70, 81]}, {'text': 'countrymusic', 'indices': [82, 95]}, {'text': 'smoke', 'indices': [96, 102]}, {'text': 'quitsmoking', 'indices': [121, 133]}, {'text': 'quitchewing', 'indices': [134, 146]}, {'text': 'quittobacco', 'indices': [147, 159]}, {'text': 'tobaccoalternative', 'indices': [185, 204]}, {'text': 'packdipspit', 'indices': [205, 217]}, {'text': 'jointheevolution', 'indices': [218, 235]}, {'text': 'tobaccokills', 'indices': [236, 249]}, {'text': 'nicotinepouch', 'indices': [250, 264]}]"
highfiveuphere,934711284641103872,,182,healthyrrific1,2022-04-19 02:04:00+00:00,"
RT @healthyrrific1: Check out my latest video ""Breaking the Habit of Smoking""

Watch Now: https://t.co/Os78kBG5Jp

#healthyrrific #stopsmok…","[{'text': 'healthyrrific', 'indices': [115, 129]}]"
harikrshn085,968946586490417152,"Katy, TX",31,ALPublicHealth,2022-04-19 01:58:58+00:00,"
RT @ALPublicHealth: April is #OralCancer Awareness Month. Untreated tooth decay is higher in people who smoke #cigarettes, and people who s…","[{'text': 'OralCancer', 'indices': [29, 40]}, {'text': 'cigarettes', 'indices': [110, 121]}]"
AnnaCampbelloz,298139324,"Sunshine Coast, Australia",23137,JoeDannaBooks,2022-04-19 01:27:34+00:00,"
RT @JoeDannaBooks: https://t.co/ybHLPqfhUZ
#NewAge #spirituality #SpiritualSunday #QuitSMOKING #mindfullness #writerslift 
Open your treasu…","[{'text': 'NewAge', 'indices': [43, 50]}, {'text': 'spirituality', 'indices': [51, 64]}, {'text': 'SpiritualSunday', 'indices': [65, 81]}, {'text': 'QuitSMOKING', 'indices': [82, 94]}, {'text': 'mindfullness', 'indices': [95, 108]}, {'text': 'writerslift', 'indices': [109, 121]}]"
weightloss157,852039149037076480,,3361,none,2022-04-18 23:14:19+00:00,"
Daily Habit Hacks Ebook: Daily Steps To Break Bad Habits &amp; Create Good Ones! Monday April 19, 2022 at 02:14AM https://t.co/JZJN1EGCAv #Habits #quitsmoking","[{'text': 'Habits', 'indices': [138, 145]}, {'text': 'quitsmoking', 'indices': [146, 158]}]"
PreventiveBot,1375244479049895941,,755,FoxFriend47,2022-04-18 23:12:15+00:00,"
RT @FoxFriend47: 7 unusual tips I used to #quitsmoking 18 years ago.
https://t.co/RALJZcNdrH","[{'text': 'quitsmoking', 'indices': [42, 54]}]"
FoxFriend47,3308004440,,712,none,2022-04-18 23:09:39+00:00,"
7 unusual tips I used to #quitsmoking 18 years ago.
https://t.co/RALJZcNdrH","[{'text': 'quitsmoking', 'indices': [25, 37]}]"
JPCymro,349014752,Under your bed,1767,none,2022-04-18 21:34:53+00:00,"
Over 12 hours down.. 

And here goes my irratic emotional mental state.. 

#QuitSMOKING https://t.co/HE8SmusITE","[{'text': 'QuitSMOKING', 'indices': [75, 87]}]"
lillvixin,1508118284503330817,,3,none,2022-04-18 19:52:34+00:00,"
Journey day 1 #Quitsmoking","[{'text': 'Quitsmoking', 'indices': [14, 26]}]"
HoneyroseUSA,2444063526,"Los Angeles, CA",53,none,2022-04-18 19:22:39+00:00,"
Use Prop Cigarettes To Add A Touch Of Authenticity In Your PhotoShoot or Movie. Best of all It’s Nicotine Tobacco &amp; THC Free. Learn More Today by Visiting Our Site. 😃

#naturalherbs #quitsmoking #honeyroseusa https://t.co/4A0XuKv9P5","[{'text': 'naturalherbs', 'indices': [172, 185]}, {'text': 'quitsmoking', 'indices': [186, 198]}, {'text': 'honeyroseusa', 'indices': [199, 212]}]"
mycigara,2182047146,"Sheffield, England",1567,none,2022-04-18 19:15:05+00:00,"
We’ve Got an Eggscellent Deal for You🐣

Get your hands on this Juice N Power shortfills' offer 
👉https://t.co/HIiCUYVkey

#easter #deals #quitsmoking #vaping #juicenpower #eliquids #shortfills #uk #mycigara https://t.co/85oKkLLCFh","[{'text': 'easter', 'indices': [122, 129]}, {'text': 'deals', 'indices': [130, 136]}, {'text': 'quitsmoking', 'indices': [137, 149]}, {'text': 'vaping', 'indices': [150, 157]}, {'text': 'juicenpower', 'indices': [158, 170]}, {'text': 'eliquids', 'indices': [171, 180]}, {'text': 'shortfills', 'indices': [181, 192]}, {'text': 'uk', 'indices': [193, 196]}, {'text': 'mycigara', 'indices': [197, 206]}]"
CFO_ScottyV,919674162,"Raleigh, NC",1324,INFUSION51a,2022-04-18 18:43:33+00:00,"
RT @INFUSION51a: So you can size it up: #LungCancer would rank 8th (and not 1st) among the deadliest cancers if it weren’t for smoking-rela…","[{'text': 'LungCancer', 'indices': [40, 51]}]"
freedomtoquitwo,944331078898147328,"Orlando, FL",87,none,2022-04-18 17:56:01+00:00,"
Speeding into a new week like... #MondayMotivation #MondayMood #quitsmoking https://t.co/OBSaqhcfG7","[{'text': 'MondayMotivation', 'indices': [33, 50]}, {'text': 'MondayMood', 'indices': [51, 62]}, {'text': 'quitsmoking', 'indices': [63, 75]}]"
larry_ldbe,95721082,"Lexington, SC",1023,ucanquit2,2022-04-18 17:29:24+00:00,"
RT @ucanquit2: #FACT: After you #quitsmoking, in just 2 weeks, your lung function will improve. Within 1-9 months, shortness of breath will…","[{'text': 'FACT', 'indices': [15, 20]}, {'text': 'quitsmoking', 'indices': [32, 44]}]"
princetonmedspa,887047795387113472,"Princeton, NJ",159,none,2022-04-18 16:01:07+00:00,"
#Stopsmokinglasertherapy is an effective way to #quitsmoking #stopsmoking with laser treatments offered @BrunswickMediSpa in #EastBrunswick https://t.co/EmdBxAwwlT https://t.co/wlIBD7NCdP","[{'text': 'Stopsmokinglasertherapy', 'indices': [0, 24]}, {'text': 'quitsmoking', 'indices': [48, 60]}, {'text': 'stopsmoking', 'indices': [61, 73]}, {'text': 'EastBrunswick', 'indices': [125, 139]}]"
vitastorm05,760032852,,244,none,2022-04-18 15:59:05+00:00,"
Smoking is dangerous. #QuitSmokingProgram provided by #StopSmokingCenter helps successfully. https://t.co/mT1ycxjgDY #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/bpgWPXX1o6","[{'text': 'QuitSmokingProgram', 'indices': [22, 41]}, {'text': 'StopSmokingCenter', 'indices': [54, 72]}, {'text': 'stopsmokinglaser', 'indices': [117, 134]}, {'text': 'quitsmoking', 'indices': [135, 147]}, {'text': 'Smokingcessation', 'indices': [148, 165]}, {'text': 'laserstopsmokingnj', 'indices': [166, 185]}, {'text': 'stopsmokingnearme', 'indices': [186, 204]}, {'text': 'stopsmokinglasernj', 'indices': [205, 224]}]"
princetonmedspa,887047795387113472,"Princeton, NJ",159,none,2022-04-18 15:59:05+00:00,"
Smoking is dangerous. #QuitSmokingProgram provided by #StopSmokingCenter helps successfully. https://t.co/JdOi5PkbvM #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/Mcv34Qw0AK","[{'text': 'QuitSmokingProgram', 'indices': [22, 41]}, {'text': 'StopSmokingCenter', 'indices': [54, 72]}, {'text': 'stopsmokinglaser', 'indices': [117, 134]}, {'text': 'quitsmoking', 'indices': [135, 147]}, {'text': 'Smokingcessation', 'indices': [148, 165]}, {'text': 'laserstopsmokingnj', 'indices': [166, 185]}, {'text': 'stopsmokingnearme', 'indices': [186, 204]}, {'text': 'stopsmokinglasernj', 'indices': [205, 224]}]"
perm_cosmetics,606797588,USA,142,none,2022-04-18 15:59:05+00:00,"
Smoking is dangerous. #QuitSmokingProgram provided by #StopSmokingCenter helps successfully. https://t.co/m2vcGVvHnR #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/ebNThPkyG2","[{'text': 'QuitSmokingProgram', 'indices': [22, 41]}, {'text': 'StopSmokingCenter', 'indices': [54, 72]}, {'text': 'stopsmokinglaser', 'indices': [117, 134]}, {'text': 'quitsmoking', 'indices': [135, 147]}, {'text': 'Smokingcessation', 'indices': [148, 165]}, {'text': 'laserstopsmokingnj', 'indices': [166, 185]}, {'text': 'stopsmokingnearme', 'indices': [186, 204]}, {'text': 'stopsmokinglasernj', 'indices': [205, 224]}]"
MediSpaNJ,718623348,USA,247,none,2022-04-18 15:59:05+00:00,"
Smoking is dangerous. #QuitSmokingProgram provided by #StopSmokingCenter helps successfully. https://t.co/GNQtkqjva2 #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/qxu3IXYulb","[{'text': 'QuitSmokingProgram', 'indices': [22, 41]}, {'text': 'StopSmokingCenter', 'indices': [54, 72]}, {'text': 'stopsmokinglaser', 'indices': [117, 134]}, {'text': 'quitsmoking', 'indices': [135, 147]}, {'text': 'Smokingcessation', 'indices': [148, 165]}, {'text': 'laserstopsmokingnj', 'indices': [166, 185]}, {'text': 'stopsmokingnearme', 'indices': [186, 204]}, {'text': 'stopsmokinglasernj', 'indices': [205, 224]}]"
PreventiveBot,1375244479049895941,,755,perm_cosmetics,2022-04-18 15:57:24+00:00,"
RT @perm_cosmetics: #Stopsmokinglasertherapy is an effective way to #quitsmoking #stopsmoking with laser treatments offered @BrunswickMediS…","[{'text': 'Stopsmokinglasertherapy', 'indices': [20, 44]}, {'text': 'quitsmoking', 'indices': [68, 80]}, {'text': 'stopsmoking', 'indices': [81, 93]}]"
PreventiveBot,1375244479049895941,,755,vitastorm05,2022-04-18 15:57:03+00:00,"
RT @vitastorm05: #Stopsmokinglasertherapy is an effective way to #quitsmoking #stopsmoking with laser treatments offered @BrunswickMediSpa…","[{'text': 'Stopsmokinglasertherapy', 'indices': [17, 41]}, {'text': 'quitsmoking', 'indices': [65, 77]}, {'text': 'stopsmoking', 'indices': [78, 90]}]"
perm_cosmetics,606797588,USA,142,none,2022-04-18 15:56:05+00:00,"
#Stopsmokinglasertherapy is an effective way to #quitsmoking #stopsmoking with laser treatments offered @BrunswickMediSpa in #EastBrunswick https://t.co/UBSoiqZh1G https://t.co/ukLbhdJgg7","[{'text': 'Stopsmokinglasertherapy', 'indices': [0, 24]}, {'text': 'quitsmoking', 'indices': [48, 60]}, {'text': 'stopsmoking', 'indices': [61, 73]}, {'text': 'EastBrunswick', 'indices': [125, 139]}]"
gearmods,223217981,sa pobla mallorca,46,feelmtech,2022-04-18 15:51:23+00:00,"
RT @feelmtech: To support smokers who looking for switch, FEELM &amp; 
@Vapourcore will send out free samples of Core Pro disposables at 3 vape…",[]
vitastorm05,760032852,,244,none,2022-04-18 15:51:04+00:00,"
#Stopsmokinglasertherapy is an effective way to #quitsmoking #stopsmoking with laser treatments offered @BrunswickMediSpa in #EastBrunswick https://t.co/DUcNzs5Gxm https://t.co/xyr3cATaZ5","[{'text': 'Stopsmokinglasertherapy', 'indices': [0, 24]}, {'text': 'quitsmoking', 'indices': [48, 60]}, {'text': 'stopsmoking', 'indices': [61, 73]}, {'text': 'EastBrunswick', 'indices': [125, 139]}]"
MediSpaNJ,718623348,USA,247,none,2022-04-18 15:46:03+00:00,"
#Stopsmokinglasertherapy is an effective way to #quitsmoking #stopsmoking with laser treatments offered @BrunswickMediSpa in #EastBrunswick https://t.co/O0oWQwL8Cf https://t.co/GchhoyPZW9","[{'text': 'Stopsmokinglasertherapy', 'indices': [0, 24]}, {'text': 'quitsmoking', 'indices': [48, 60]}, {'text': 'stopsmoking', 'indices': [61, 73]}, {'text': 'EastBrunswick', 'indices': [125, 139]}]"
NCICancerCtrl,95753389,"Bethesda, Maryland",53807,SmokefreeUs,2022-04-18 15:41:50+00:00,"
RT @SmokefreeUs: People who feel supported are more likely to be able to #QuitSmoking. Check out our website for tips to help you support t…","[{'text': 'QuitSmoking', 'indices': [73, 85]}]"
ALPublicHealth,323311059,"Alabama, USA",20832,none,2022-04-18 15:12:36+00:00,"
April is #OralCancer Awareness Month. Untreated tooth decay is higher in people who smoke #cigarettes, and people who smoke are 3X as likely to lose all of their teeth. Learn more about oral cancer and other #OralHealth conditions at https://t.co/gUoTWZlGcx. #QuitSmoking https://t.co/Kq2BpBCbRC","[{'text': 'OralCancer', 'indices': [9, 20]}, {'text': 'cigarettes', 'indices': [90, 101]}, {'text': 'OralHealth', 'indices': [208, 219]}, {'text': 'QuitSmoking', 'indices': [259, 271]}]"
SaafiSafiya,1168105004378574848,Canada,25,medlineplus,2022-04-18 14:53:28+00:00,"
RT @medlineplus: RT @SmokefreeUs: If you know someone who wants to #QuitSmoking but isn't quite ready, our Practice Quit text message progr…","[{'text': 'QuitSmoking', 'indices': [67, 79]}]"
easterncthealth,397279223,Eastern Connecticut,573,none,2022-04-18 14:05:03+00:00,"
Quitting smoking is hard. The Freedom From Smoking program helps smokers quit their addiction and regain control of their life step by step through eight sessions.

To register for this virtual program call 860.646.1222 ext 1408 or email kfiume@echn.org.

#QuitSmoking #Addiction https://t.co/m2B7xrJBsr","[{'text': 'QuitSmoking', 'indices': [256, 268]}, {'text': 'Addiction', 'indices': [269, 279]}]"
medlineplus,25552666,"Bethesda, MD",104274,none,2022-04-18 14:00:49+00:00,"
RT @SmokefreeUs: If you know someone who wants to #QuitSmoking but isn't quite ready, our Practice Quit text message program can help them gain confidence to quit for good! Learn more on our site: https://t.co/XfI4SMKl8x https://t.co/mE5WpwTZc1","[{'text': 'QuitSmoking', 'indices': [50, 62]}]"
thenaturalheals,1442119928224509953,United States,14,none,2022-04-18 13:46:18+00:00,"
Stop Smoking With These Effective Methods!

https://t.co/ZnF16cP2j9 

#quitsmoking #smoking #stopsmoking #acupuncturepointstoquitsmoking #habits #stopsmokinghabit https://t.co/54FhetnHXV","[{'text': 'quitsmoking', 'indices': [70, 82]}, {'text': 'smoking', 'indices': [83, 91]}, {'text': 'stopsmoking', 'indices': [92, 104]}, {'text': 'acupuncturepointstoquitsmoking', 'indices': [105, 136]}, {'text': 'habits', 'indices': [137, 144]}, {'text': 'stopsmokinghabit', 'indices': [145, 162]}]"
letchworthpharm,1210518520758444036,"Letchworth, Garden City, UK",45,none,2022-04-18 13:32:29+00:00,"
It's never too late to #JoinTheQuitters.

Contact us for #StopSmoking advice, products and support.

Every day is a good day to #QuitSmoking.

Let us help you start the journey to #NoSmoking today. https://t.co/ahh0pgWvEp","[{'text': 'JoinTheQuitters', 'indices': [23, 39]}, {'text': 'StopSmoking', 'indices': [57, 69]}, {'text': 'QuitSmoking', 'indices': [128, 140]}, {'text': 'NoSmoking', 'indices': [180, 190]}]"
AshOrg,114584727,"Washington, DC",6433,none,2022-04-18 13:10:03+00:00,"
Michael quit smoking with help from @Kickitca. You can too. Chat with a Quit Coach today! 

🌐 https://t.co/JplM2HdpVh

📞 English: 1-800-300-8086

📞 Spanish: 1-800-600-8191

✉️ “Quit smoking” or “Dejar de Fumar” to 66819

💬 https://t.co/iML4WGlnNt

#QuitSmoking #QuitToday https://t.co/PeKa4ZcFig","[{'text': 'QuitSmoking', 'indices': [248, 260]}, {'text': 'QuitToday', 'indices': [261, 271]}]"
officialfusenbg,1377037118946607106,"London, England",467,none,2022-04-18 12:55:46+00:00,"
🅿️

#NOSMOKING #QUITSMOKING #HEALTHISWEALTH #BETTERINGYOURSELF #STAYINGFOCUSED #ONTHERIGHTPATH @ Unique One https://t.co/abrIiJIFZw","[{'text': 'NOSMOKING', 'indices': [4, 14]}, {'text': 'QUITSMOKING', 'indices': [15, 27]}, {'text': 'HEALTHISWEALTH', 'indices': [28, 43]}, {'text': 'BETTERINGYOURSELF', 'indices': [44, 62]}, {'text': 'STAYINGFOCUSED', 'indices': [63, 78]}, {'text': 'ONTHERIGHTPATH', 'indices': [79, 94]}]"
princetonmedspa,887047795387113472,"Princeton, NJ",159,none,2022-04-18 12:46:05+00:00,"
#Stopsmoking laser therapy - most effective smoking cessation program in NJ provided by Brunswick Medi Spa. https://t.co/JdOi5PkbvM #stopsmoking #stopsmokinglaser #quitsmoking #Smoking essation #laserstopsmokingnj #stops https://t.co/6kaD9W7CNU","[{'text': 'Stopsmoking', 'indices': [0, 12]}, {'text': 'stopsmoking', 'indices': [132, 144]}, {'text': 'stopsmokinglaser', 'indices': [145, 162]}, {'text': 'quitsmoking', 'indices': [163, 175]}, {'text': 'Smoking', 'indices': [176, 184]}, {'text': 'laserstopsmokingnj', 'indices': [194, 213]}, {'text': 'stops', 'indices': [214, 220]}]"
